produtor,regiao,tecnico,num_galpao,tipo_instalacao,nutricao,area,genetica,origem,peso_pintinho_kg,data_alojamento,aves_alojadas,data_abate,aves_abatidas,vazio_dias,densidade_aves_m2,idade_media_dias,peso_abatido_kg,peso7,peso14,peso21,peso28,peso35,peso42,peso49,pct_mort7,pct_mort14,pct_mort21,pct_mort28,pct_mort35,pct_mort42,pct_mort49,racao_pre,racaoinicial,racao_cres1,racao_cres2,racao_final,racao_total,sobra_racao,peso_medio_kg,duracao_ciclo_dias,data_alojamento_ano,data_alojamento_mes,data_alojamento_dia,data_abate_ano,data_abate_mes,data_abate_dia,peso_medio_calculado_kg,racao_total_por_ave,sobra_racao_pct,ganho_peso_kg,taxa_abate,mortalidade_total_pct,predicted_peso_medio_kg
P61,Regiao_2,Tecnico_2,9,Tipo_1,N_2,2400,G_1,Origem_15,0.043,2015-11-14 00:00:00.000,31000,2016-01-05,28950,11.0,12.917,52.331,95540,0.2,0.506,0.98,1.6,2.27,2.891,2.891,0.7903225806,1.2451612903,1.4838709677,1.6709677419,1.8258064516,2.3419354838,3.9225806451,6057,28993,21041,89774,33823,179688,5180,3.3001727115716752,52,2015,11,14,2016,1,5,3.3001727115716752,5.796387096774193,0.028827745870620185,3.257172711571675,0.9338709677419355,3.9225806451,3.419135699660639
P61,Regiao_2,Tecnico_2,10,Tipo_1,N_3,2400,G_1,Origem_15,0.048,2015-11-14 00:00:00.000,31000,2016-01-05,29680,11.0,12.917,52.575,102890,0.205,0.509,0.98,1.6,2.262,2.883,2.883,0.5967741935,0.9838709677,1.2903225806,1.5,1.893548387,2.5774193548,3.4161290322,6310,29106,21199,90163,40587,187365,0,3.466644204851752,52,2015,11,14,2016,1,5,3.466644204851752,6.044032258064516,0.0,3.418644204851752,0.9574193548387097,3.4161290322,3.3971730821814417
P66,Regiao_1,Tecnico_1,2,Tipo_1,N_3,2400,G_2,Origem_5,0.042,2015-11-14 00:00:00.000,30700,2016-01-04,29718,15.0,12.792,51.051,97910,0.19,0.48,0.9,1.5,2.03,2.56,2.56,0.4918566775,0.8338762214,1.0162866449,1.2149837133,1.9185667752,2.32247557,2.9283387622,6024,29017,20991,60044,55733,171809,4350,3.294636247392153,51,2015,11,14,2016,1,4,3.294636247392153,5.596384364820847,0.02531881333341094,3.2526362473921533,0.9680130293159609,2.9283387622,3.2642097416281604
P67,Regiao_3,Tecnico_3,1,Tipo_1,N_3,2400,G_1,Origem_22,0.046,2015-11-14 00:00:00.000,31721,2016-01-05,30306,11.0,13.217,51.889,101470,0.175,0.47,0.945,1.495,2.13,2.69,3.21,1.0024904637,1.664512468,1.9576936414,2.1689101856,2.5314460452,2.9570316194,3.5370889946,6515,28938,21008,90074,41212,187747,5870,3.348181878175939,52,2015,11,14,2016,1,5,3.348181878175939,5.918697392894297,0.03126547960819614,3.302181878175939,0.955392326849721,3.5370889946,3.273198345902166
P135,Regiao_4,Tecnico_4,1,Tipo_1,N_1,2400,G_1,Origem_15,0.045,2015-11-15 00:00:00.000,30750,2016-01-05,29850,16.0,12.812,51.565,97200,0.2,0.5,1.0,1.5,2.1,2.66,3.3,0.7804878048,1.2357723577,1.525203252,1.7983739837,2.1886178861,2.6569105691,4.9528455284,5833,29011,20968,45083,74980,175875,0,3.2562814070351758,51,2015,11,15,2016,1,5,3.2562814070351758,5.719512195121951,0.0,3.211281407035176,0.9707317073170731,4.9528455284,3.2660674966832617
P140,Regiao_4,Tecnico_4,2,Tipo_1,N_1,2400,G_3,Origem_15,0.044,2015-11-15 00:00:00.000,30750,2016-01-05,30605,19.0,12.812,51.726,100970,0.2,0.5,1.025,1.571,2.16,2.676,3.3,0.8520325203,1.21300813,1.4796747967,1.7398373983,1.9804878048,2.6113821138,3.5382113821,5818,29048,19588,60018,64040,178512,0,3.2991341284103903,51,2015,11,15,2016,1,5,3.2991341284103903,5.805268292682927,0.0,3.2551341284103903,0.9952845528455284,3.5382113821,3.238232591190153
P114,Regiao_6,Tecnico_6,1,Tipo_1,N_1,2250,G_1,Origem_22,0.047,2015-11-17 00:00:00.000,29900,2016-01-07,28698,12.0,13.289,51.202,89420,0.185,0.46,0.965,1.55,2.215,2.849,2.849,0.6020066889,1.6153846153,2.2474916387,2.4749163879,2.7826086956,3.1003344481,3.8160535117,5987,27013,19053,75019,33682,160754,3050,3.1158965781587566,51,2015,11,17,2016,1,7,3.1158965781587566,5.3763879598662205,0.018973089316595543,3.0688965781587565,0.9597993311036789,3.8160535117,3.183241630302911
P114,Regiao_6,Tecnico_6,2,Tipo_1,N_1,2250,G_1,Origem_22,0.047,2015-11-17 00:00:00.000,29900,2016-01-06,28240,12.0,13.289,49.937,86670,0.18,0.475,0.99,1.595,2.23,2.85,2.85,0.5752508361,0.8829431438,1.2040133779,1.431438127,1.7290969899,2.3612040133,4.7357859531,5999,28020,18005,75000,27661,154685,5350,3.0690509915014164,50,2015,11,17,2016,1,6,3.0690509915014164,5.173411371237458,0.03458641755826357,3.022050991501416,0.9444816053511705,4.7357859531,3.1187088052526124
P130,Regiao_3,Tecnico_1,2,Tipo_1,N_1,1440,G_3,Origem_20,0.037,2015-11-17 00:00:00.000,17500,2016-01-05,16220,13.0,12.153,49.406,47040,0.143,0.356,0.8,1.265,1.95,2.5,2.5,2.2114285714,2.7542857142,3.0742857142,3.2742857142,3.5542857142,4.2057142857,5.44,3255,16091,11135,42047,13911,86439,1130,2.900123304562269,49,2015,11,17,2016,1,5,2.900123304562269,4.9393714285714285,0.013072802785779568,2.863123304562269,0.9268571428571428,5.44,3.1481228501939214
P139,Regiao_1,Tecnico_1,1,Tipo_1,N_1,2400,G_1,Origem_13,0.045,2015-11-17 00:00:00.000,31815,2016-01-06,30758,11.0,13.256,50.581,100670,0.19,0.48,0.98,1.62,2.08,2.73,2.73,1.9110482476,2.2379380795,2.4202420242,2.6276913405,3.1871758604,3.5109225208,3.928964325,5999,30037,20942,72058,51170,180206,3880,3.2729696339163796,50,2015,11,17,2016,1,6,3.2729696339163796,5.664183561213264,0.021530914619934963,3.2279696339163797,0.9667766776677668,3.928964325,3.2802573486450517
P158,Regiao_6,Tecnico_6,1,Tipo_1,N_1,2250,G_3,Origem_20,0.037,2015-11-17 00:00:00.000,30300,2016-01-06,27601,13.0,13.467,50.317,87730,0.145,0.39,0.89,1.47,2.16,2.788,2.788,1.303630363,3.201320132,3.7161716171,4.1353135313,4.7293729372,6.4356435643,8.5610561056,6000,28006,18068,75107,28077,155258,19869,3.1785080250715554,50,2015,11,17,2016,1,6,3.1785080250715554,5.124026402640264,0.1279740818508547,3.1415080250715555,0.9109240924092409,8.5610561056,3.0181730234238633
P164,Regiao_3,Tecnico_1,1,Tipo_1,N_3,2250,G_1,Origem_22,0.047,2015-11-17 00:00:00.000,29900,2016-01-06,28508,14.0,13.289,49.931,89740,0.19,0.48,1.0,1.49,2.2,2.83,2.83,0.4983277591,0.8093645484,0.9799331103,1.2006688963,1.4715719063,1.8361204013,4.779264214,5999,27004,20994,81054,26565,161616,13500,3.147888312052757,50,2015,11,17,2016,1,6,3.147888312052757,5.4052173913043475,0.08353133353133353,3.100888312052757,0.9534448160535117,4.779264214,3.1321240672088915
P164,Regiao_3,Tecnico_1,2,Tipo_1,N_3,2250,G_1,Origem_22,0.047,2015-11-17 00:00:00.000,29900,2016-01-06,29036,14.0,13.289,50.147,90950,0.185,0.45,0.91,1.5,2.16,2.715,2.715,0.4849498327,0.7826086956,0.9632107023,1.1505016722,1.4046822742,1.7859531772,3.0769230769,6010,28010,21001,76126,30045,161192,14950,3.13231850117096,50,2015,11,17,2016,1,6,3.13231850117096,5.391036789297659,0.09274653828974143,3.08531850117096,0.9711036789297659,3.0769230769,3.1905646342098417
P164,Regiao_3,Tecnico_1,3,Tipo_2,N_3,2400,G_1,Origem_5,0.04,2015-11-17 00:00:00.000,31600,2016-01-07,30935,18.0,13.167,51.061,102290,0.17,0.44,0.89,1.47,2.18,2.7225,2.7225,0.4778481012,0.7879746835,0.9778481012,1.1360759493,1.411392405,2.5158227848,3.1867088607,6473,29011,21017,81209,41151,178861,3760,3.3066106352028446,51,2015,11,17,2016,1,7,3.3066106352028446,5.660158227848101,0.021021910869334286,3.2666106352028446,0.9789556962025316,3.1867088607,3.2759516060639156
P164,Regiao_3,Tecnico_1,4,Tipo_2,N_3,2400,G_1,Origem_5,0.041,2015-11-17 00:00:00.000,31600,2016-01-07,30910,18.0,13.167,51.268,102580,0.195,0.445,0.93,1.6,2.3,2.83,2.83,0.743670886,1.0411392405,1.2088607594,1.3670886075,1.5917721518,2.2120253164,2.8006329113,6438,29021,21010,86121,39010,181600,0,3.3186670980265287,51,2015,11,17,2016,1,7,3.3186670980265287,5.746835443037975,0.0,3.277667098026529,0.9781645569620253,2.8006329113,3.3515037052678385
P165,Regiao_5,Tecnico_5,1,Tipo_3,N_3,1080,G_3,Origem_20,0.037,2015-11-17 00:00:00.000,13000,2016-01-07,12354,12.0,12.037,51.347,38600,0.165,0.43,0.87,1.435,1.9,2.5,2.5,0.7769230769,1.2,1.3923076923,1.5923076923,1.8153846153,2.4307692307,4.0846153846,2500,12003,8997,33020,14730,71250,3280,3.1244940909826777,51,2015,11,17,2016,1,7,3.1244940909826777,5.480769230769231,0.04603508771929825,3.087494090982678,0.9503076923076923,4.0846153846,3.0941126658682676
P268,Regiao_1,Tecnico_1,1,Tipo_1,N_1,2400,G_1,Origem_13,0.045,2015-11-17 00:00:00.000,31815,2016-01-06,30435,13.0,13.256,50.345,99960,0.19,0.49,0.99,1.6001,2.100111,2.73,2.73,1.4615747289,1.8230394468,2.0242024202,2.234794908,2.5679710828,3.1211692597,3.690083294,5999,30019,21001,71963,49612,178594,4300,3.28437654016757,50,2015,11,17,2016,1,6,3.28437654016757,5.613515637278014,0.024076956672676574,3.2393765401675703,0.9566242338519566,3.690083294,3.2570503809463913
P37,Regiao_5,Tecnico_5,1,Tipo_3,N_3,975,G_1,Origem_22,0.047,2015-11-17 00:00:00.000,11400,2016-01-06,10971,13.0,11.692,50.394,35120,0.187,0.47,0.91,1.485,2.01,2.67,2.67,0.447368421,0.9035087719,1.0526315789,1.3157894736,1.5789473684,2.1578947368,3.2280701754,2311,8409,8995,29358,14182,63255,3820,3.2011667122413634,50,2015,11,17,2016,1,6,3.2011667122413634,5.548684210526316,0.06039048296577346,3.1541667122413632,0.9623684210526315,3.2280701754,3.081160318809194
P145,Regiao_8,Tecnico_8,2,Tipo_2,N_1,1200,G_2,Origem_5,0.045,2015-11-18 00:00:00.000,15400,2016-01-07,14704,11.0,12.833,50.233,49320,0.18,0.45,0.9,1.5,2.1,2.75,3.125,0.8441558441,1.1298701298,1.3311688311,1.5779220779,1.8376623376,2.6168831168,3.5259740259,3007,14990,9043,43035,16019,86094,1980,3.354189336235038,50,2015,11,18,2016,1,7,3.354189336235038,5.590519480519481,0.02299811833577253,3.309189336235038,0.9548051948051948,3.5259740259,3.125318240643034
P258,Regiao_7,Tecnico_7,1,Tipo_2,N_1,2400,G_1,Origem_15,0.048,2015-11-18 00:00:00.000,32800,2016-01-07,30925,21.0,13.667,50.687,99480,0.18,0.49,0.96,1.586,2.1,2.8,3.22,2.5579268292,3.5426829268,4.0182926829,4.2408536585,4.8719512195,5.618902439,6.4847560975,6483,30028,21005,86984,32416,176916,2640,3.2168148746968472,50,2015,11,18,2016,1,7,3.2168148746968472,5.393780487804878,0.014922336023875738,3.168814874696847,0.9428353658536586,6.4847560975,3.2701273121071153
P260,Regiao_7,Tecnico_7,1,Tipo_2,N_1,2400,G_1,Origem_15,0.045,2015-11-18 00:00:00.000,32800,2016-01-06,30870,14.0,13.667,49.43,98330,0.2,0.5,1.003,1.655,2.23,2.81,2.81,1.0640243902,1.5182926829,1.7286585365,2.0030487804,2.3963414634,2.975609756,4.6219512195,6523,29981,20658,90062,28499,175723,1510,3.185293164885002,49,2015,11,18,2016,1,6,3.185293164885002,5.357408536585366,0.008593069774588414,3.140293164885002,0.9411585365853659,4.6219512195,3.183897172180872
P289,Regiao_7,Tecnico_7,1,Tipo_1,N_1,2400,G_1,Origem_15,0.048,2015-11-18 00:00:00.000,32800,2016-01-07,31395,21.0,13.667,50.505,101820,0.2,0.5,1.016,1.655,2.235,2.81,3.2,0.9390243902,1.4725609756,1.6890243902,1.9573170731,2.3170731707,2.7073170731,3.7835365853,6491,30098,20988,90146,34959,182682,4150,3.243191591017678,50,2015,11,18,2016,1,7,3.243191591017678,5.569573170731707,0.022717071194753725,3.195191591017678,0.9571646341463415,3.7835365853,3.2337581942170157
P3,Regiao_3,Tecnico_1,1,Tipo_1,N_1,2400,G_2,Origem_5,0.043,2015-11-18 00:00:00.000,31100,2016-01-07,29733,13.0,12.958,50.582,95490,0.188,0.5,0.98,1.55,2.2,2.775,2.775,1.5884244372,1.9035369774,2.0996784565,2.308681672,2.7170418006,3.2604501607,4.3408360128,6520,27085,21027,72986,42205,169823,4980,3.211583089496519,50,2015,11,18,2016,1,7,3.211583089496519,5.460546623794213,0.02932464978242052,3.168583089496519,0.9560450160771704,4.3408360128,3.224341082339227
P3,Regiao_3,Tecnico_1,2,Tipo_1,N_1,2400,G_2,Origem_5,0.043,2015-11-18 00:00:00.000,31100,2016-01-05,29401,13.0,12.958,48.257,89850,0.181,0.49,0.95,1.555,2.19,2.79,2.79,1.2733118971,1.5627009646,1.7684887459,1.9324758842,2.2926045016,2.8585209003,5.2218649517,6524,28052,21063,75134,26732,157505,12300,3.0560185027720146,48,2015,11,18,2016,1,5,3.0560185027720146,5.064469453376206,0.07809275896003301,3.0130185027720144,0.9453697749196142,5.2218649517,3.093558728278156
P3,Regiao_3,Tecnico_1,3,Tipo_1,N_1,2400,G_1,Origem_5,0.044,2015-11-18 00:00:00.000,31100,2016-01-05,29944,14.0,12.958,48.06,94310,0.198,0.51,0.99,1.56,2.18,2.77,2.77,1.15755627,1.3794212218,1.5852090032,1.7684887459,2.0707395498,2.2572347266,3.9614147909,6505,28022,20982,78040,31052,164601,10700,3.1495458188618755,48,2015,11,18,2016,1,5,3.1495458188618755,5.292636655948553,0.06500568040291371,3.1055458188618754,0.9628295819935692,3.9614147909,3.1159596542154997
P68,Regiao_9,Tecnico_5,1,Tipo_1,N_1,1440,G_3,Origem_5,0.046,2015-11-18 00:00:00.000,16500,2016-01-07,15960,13.0,11.458,50.439,50830,0.178,0.43,0.85,1.44,2.0,2.5,2.5,1.3818181818,1.8606060606,2.0909090909,2.2969696969,2.6303030303,3.1696969696,3.9818181818,3498,14987,12021,42024,16543,89073,0,3.1848370927318297,50,2015,11,18,2016,1,7,3.1848370927318297,5.398363636363636,0.0,3.13883709273183,0.9672727272727273,3.9818181818,3.129646684047906
P209,Regiao_11,Tecnico_3,1,Tipo_2,N_1,2400,G_1,Origem_15,0.048,2015-11-19 00:00:00.000,32000,2016-01-08,31218,10.0,13.333,50.129,100170,0.185,0.495,1.012,1.55,2.13,2.13,2.13,1.0,1.465625,1.753125,1.934375,2.3875,2.3875,2.3875,6510,30031,23114,90031,25896,175582,4130,3.2087257351527962,50,2015,11,19,2016,1,8,3.2087257351527962,5.4869375,0.023521773302502533,3.160725735152796,0.9755625,2.3875,3.175520347903138
P235,Regiao_10,Tecnico_5,1,Tipo_1,N_1,2400,G_1,Origem_4,0.042,2015-11-19 00:00:00.000,32340,2016-01-07,31171,13.0,13.475,49.011,92080,0.175,0.45,0.865,1.44,1.99,2.52,2.52,2.4737167594,2.7365491651,2.860235003,2.9684601113,3.2683982683,3.9301175015,4.5918367346,6005,30040,21040,72071,28563,157719,1560,2.9540277822334864,49,2015,11,19,2016,1,7,2.9540277822334864,4.876901669758813,0.009891008692674947,2.9120277822334866,0.9638528138528139,4.5918367346,3.054022598632952
P235,Regiao_10,Tecnico_5,2,Tipo_2,N_1,2400,G_1,Origem_4,0.042,2015-11-19 00:00:00.000,33075,2016-01-06,31120,13.0,13.781,48.554,90790,0.185,0.44,0.85,1.45,2.09,2.09,2.09,1.4391534391,1.8291761148,1.962207105,2.0831443688,2.2917611489,3.3529856386,5.6235827664,6006,30035,21004,74971,25349,157365,4660,2.9174164524421595,48,2015,11,19,2016,1,6,2.9174164524421595,4.757823129251701,0.029612683887776825,2.8754164524421597,0.9408919123204837,5.6235827664,3.0518521854542016
P32,Regiao_7,Tecnico_7,1,Tipo_2,N_1,2400,G_1,Origem_22,0.053,2015-11-19 00:00:00.000,32600,2016-01-08,31507,10.0,13.583,49.946,101830,0.199,0.493,0.983,1.5,2.1,2.727,3.13,0.7730061349,1.3680981595,1.6380368098,2.0092024539,2.199386503,2.4478527607,2.745398773,6504,30007,21049,81124,39025,177709,5980,3.231980194877329,50,2015,11,19,2016,1,8,3.231980194877329,5.451196319018405,0.03365051854436185,3.178980194877329,0.9664723926380369,2.745398773,3.200175908395468
P32,Regiao_7,Tecnico_7,2,Tipo_2,N_1,2400,G_1,Origem_22,0.053,2015-11-19 00:00:00.000,32600,2016-01-08,31472,8.0,13.583,50.209,100290,0.195,0.495,0.975,1.414,2.1,2.729,3.14,0.8067484662,1.1687116564,1.3926380368,1.5766871165,1.8098159509,2.1932515337,3.0368098159,6505,30076,21033,85071,35964,178649,9070,3.186642094560244,50,2015,11,19,2016,1,8,3.186642094560244,5.480030674846626,0.05076994553565931,3.133642094560244,0.965398773006135,3.0368098159,3.204714573296757
P97,Regiao_4,Tecnico_4,1,Tipo_2,N_1,2100,G_1,Origem_15,0.0,2015-11-19 00:00:00.000,27000,2016-01-08,25920,13.0,12.857,50.455,77800,0.2,0.465,0.9,1.49,2.18,2.82,2.82,0.9185185185,1.2259259259,1.4518518518,1.5925925925,1.9629629629,2.974074074,2.974074074,5502,24036,19154,54005,35188,137885,9830,3.001543209876543,50,2015,11,19,2016,1,8,3.001543209876543,5.106851851851852,0.07129129346919534,3.001543209876543,0.96,2.974074074,3.050871216452987
P113,Regiao_11,Tecnico_3,1,Tipo_1,N_1,2400,G_1,Origem_5,0.043,2015-11-20 00:00:00.000,32300,2016-01-08,30632,15.0,13.458,49.28,89320,0.18,0.47,0.935,1.5,2.05,2.6,2.6,1.6099071207,1.9659442724,2.1950464396,2.4179566563,2.7213622291,3.1145510835,4.7925696594,6517,29298,20993,96026,8794,161628,21123,2.915904936014625,49,2015,11,20,2016,1,8,2.915904936014625,5.003962848297213,0.1306889895315168,2.872904936014625,0.948359133126935,4.7925696594,3.1463962458482766
P125,Regiao_11,Tecnico_3,1,Tipo_2,N_1,1500,G_1,Origem_5,0.041,2015-11-20 00:00:00.000,20300,2016-01-11,19500,15.0,13.533,52.542,63060,0.18,0.47,0.945,1.5,2.05,2.05,2.05,0.9261083743,1.2463054187,1.4581280788,1.7783251231,2.6650246305,2.6650246305,2.6650246305,4017,17728,14036,65002,13359,114142,4620,3.233846153846154,52,2015,11,20,2016,1,11,3.233846153846154,5.622758620689655,0.04047589844229118,3.192846153846154,0.9605911330049262,2.6650246305,3.1437620983356633
P209,Regiao_11,Tecnico_3,2,Tipo_2,N_1,2400,G_1,Origem_20,0.041,2015-11-20 00:00:00.000,31800,2016-01-12,30846,11.0,13.25,53.657,107010,0.18,0.49,0.98,1.56,2.22,2.72,3.25,0.9276729559,1.3207547169,1.6194968553,1.823899371,2.1069182389,2.4559748427,2.8773584905,6521,29981,20997,90020,43888,191407,1080,3.469169422291383,53,2015,11,20,2016,1,12,3.469169422291383,6.0190880503144655,0.00564242687049063,3.428169422291383,0.97,2.8773584905,3.372160128440629
P236,Regiao_1,Tecnico_1,1,Tipo_1,N_3,2072,G_1,Origem_22,0.04,2015-11-20 00:00:00.000,27500,2016-01-08,26040,17.0,13.272,49.317,73910,0.164,0.43,0.85,1.376,1.98,2.5,3.0,1.0836363636,1.8945454545,2.2763636363,2.5272727272,2.7709090909,3.1781818181,3.5636363636,4513,27005,16014,75069,14121,136722,8010,2.8383256528417817,49,2015,11,20,2016,1,8,2.8383256528417817,4.971709090909091,0.05858603589766095,2.7983256528417817,0.9469090909090909,3.5636363636,2.9751706482888576
P250,Regiao_1,Tecnico_1,5,Tipo_1,N_1,1791,G_1,Origem_5,0.037,2015-11-20 00:00:00.000,23900,2016-01-08,22899,16.0,13.345,49.599,65400,0.155,0.4,0.887,1.433,2.018,2.018,2.018,0.8451882845,1.0920502092,1.3012552301,1.4979079497,1.6443514644,3.4895397489,3.4895397489,4825,21031,12002,52035,31465,121358,3210,2.856019913533342,49,2015,11,20,2016,1,8,2.856019913533342,5.077740585774059,0.026450666622719558,2.8190199135333422,0.9581171548117154,3.4895397489,3.1503662177510177
P97,Regiao_4,Tecnico_4,2,Tipo_2,N_1,6150,G_1,Origem_20,0.044,2015-11-20 00:00:00.000,26800,2016-01-13,25860,13.0,4.358,53.177,80860,0.255,0.475,0.95,1.57,2.19,2.83,2.83,0.6604477611,0.8768656716,1.0634328358,1.1828358208,1.369402985,1.9328358208,2.4514925373,5521,24100,18014,54094,49195,150924,3680,3.1268368136117557,54,2015,11,20,2016,1,13,3.1268368136117557,5.631492537313433,0.024383133232620393,3.0828368136117557,0.9649253731343284,2.4514925373,3.0771234888563557
P97,Regiao_4,Tecnico_4,3,Tipo_2,N_1,6150,G_1,Origem_5,0.041,2015-11-20 00:00:00.000,27300,2016-01-08,26335,13.0,4.439,49.573,69800,0.216,0.49,0.91,1.45,2.1,2.75,2.75,0.8021978021,1.0,1.1978021978,1.3003663003,1.4212454212,1.8131868131,2.2014652014,5519,25091,18043,45006,39944,133603,3020,2.650465160432884,49,2015,11,20,2016,1,8,2.650465160432884,4.893882783882784,0.022604282837960225,2.609465160432884,0.9646520146520147,2.2014652014,3.0480187896482884
